Date;Month;Year;Description;Macrocategory;Category;Condition;Value;Value Calculation;Status;Type;Shared
01/07/2023;7;2023;Expected July Contribution;Investment;Expected Contibution;Investment;800;800;;;
01/08/2023;8;2023;Expected August Contribution;Investment;Expected Contibution;Investment;800;800;;;
10/08/2023;8;2023;Additional August Contibution;Investment;Additional Contribution;Investment;600;600;;;
01/09/2023;9;2023;Expected September Contribution;Investment;Expected Contibution;Investment;800;800;;;
10/09/2023;9;2023;Additional September Contibution;Investment;Additional Contribution;Investment;1000;1000;;;
01/10/2023;10;2023;Expected October Contribution;Investment;Expected Contibution;Investment;800;800;;;
01/11/2023;11;2023;Expected November Contribution;Investment;Expected Contibution;Investment;800;800;;;
01/12/2023;12;2023;Expected December Contribution;Investment;Expected Contibution;Investment;800;800;;;
10/12/2023;12;2023;Additional December Contibution;Investment;Additional Contribution;Investment;1500;1500;;;
01/01/2024;1;2024;Expected January Contribution;Investment;Expected Contibution;Investment;800;800;;;
10/01/2024;1;2024;Additional January Contibution;Investment;Additional Contribution;Investment;1200;1200;;;
01/02/2024;2;2024;Expected February Contribution;Investment;Expected Contibution;Investment;800;800;;;
01/03/2024;3;2024;Expected March Contribution;Investment;Expected Contibution;Investment;800;800;;;
01/04/2024;4;2024;Expected April Contribution;Investment;Expected Contibution;Investment;800;800;;;
10/04/2024;4;2024;Additional April Contibution;Investment;Additional Contribution;Investment;2800;2800;;;
01/05/2024;5;2024;Expected May Contribution;Investment;Expected Contibution;Investment;800;800;;;
02/05/2024;5;2024;Expected May Salary;Salary;Expected Salary;Income;2000;2000;;;
02/05/2024;5;2024;Additional May Income;Salary;Additional Income;Income;100;100;;;
09/05/2024;5;2024;Pants and Socks;Personal;Clothes;Outflow;150;-150;;;
14/05/2024;5;2024;Cups;Personal;Housing;Outflow;40;-40;;;
23/05/2024;5;2024;Dog Food;Personal;Pets;Outflow;55;-55;;;
28/05/2024;5;2024;Shorts;Personal;Exercising;Outflow;250;-250;;;
13/05/2024;5;2024;Gift for friend;Personal;Gift;Outflow;85;-85;;;
07/05/2024;5;2024;Bike Lock;Personal;Bike;Outflow;80;-80;;;
03/05/2024;5;2024;SQL Course;Personal;Online Course;Outflow;15;-15;;;
15/05/2024;5;2024;Mousepad;Personal;Gear;Outflow;15;-15;;;
09/05/2024;5;2024;David Goggins Book;Personal;Library;Outflow;30;-30;;;
02/05/2024;5;2024;Gift for friend B;Personal;Gift;Outflow;28;-28;;;
08/05/2024;5;2024;Car Washing;Transportation;Car Maintenance;Outflow;250;-250;;;
